job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings,weighted_score,skill_level,hiring_score,job_readiness_level
27,AI Engineer,Startup,Education,Australia,Onsite,Senior,11,PhD,1,1,1,0,0,154146,Sep,2021,Medium,6,6.5,Medium,60,Moderate
28,Data Engineer,Startup,Education,India,Hybrid,Mid,3,Bachelor,1,1,0,1,0,88124,Dec,2023,Low,5,6.5,Medium,60,Moderate
29,AI Engineer,Startup,Technology,Australia,Remote,Mid,2,PhD,0,1,1,1,0,140635,Oct,2025,High,2,7.5,High,60,Moderate
30,Data Analyst,Startup,Retail,Germany,Hybrid,Senior,4,Master,1,0,1,0,0,111931,May,2020,High,9,5,Medium,45,Beginner
31,Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Mid,8,Master,1,0,0,0,1,129662,May,2025,High,7,4,Low,35,Beginner
32,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,5,Bachelor,0,0,1,1,0,127141,Apr,2024,High,1,6,Medium,45,Beginner
33,AI Engineer,MNC,Healthcare,India,Remote,Senior,13,Bachelor,1,0,0,1,1,182849,Apr,2026,Medium,6,7,Medium,60,Moderate
34,Machine Learning Engineer,Medium,Retail,India,Remote,Entry,3,Bachelor,1,1,1,0,1,119087,Nov,2023,Low,1,8.5,High,75,Highly Ready
35,AI Engineer,Medium,Retail,Germany,Remote,Entry,2,Bachelor,0,0,1,0,0,103913,Nov,2023,Low,1,3,Low,10,Not Ready
36,Business Analyst,Startup,Technology,Singapore,Hybrid,Mid,2,Bachelor,1,0,0,0,1,86748,Oct,2021,High,8,4,Low,35,Beginner
37,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,4,Master,1,0,0,0,1,145728,May,2024,Low,4,4,Low,35,Beginner
38,Data Scientist,MNC,Healthcare,Canada,Remote,Senior,2,Bachelor,1,1,1,0,0,136806,May,2023,High,8,6.5,Medium,60,Moderate
39,Data Scientist,Enterprise,E-commerce,Singapore,Remote,Senior,13,Bachelor,0,0,1,1,1,136365,Nov,2022,High,9,8,High,60,Moderate
40,Data Scientist,MNC,Technology,Canada,Remote,Senior,6,Bachelor,1,1,0,1,1,145486,May,2024,Low,3,8.5,High,75,Highly Ready
41,Data Analyst,MNC,Finance,Germany,Onsite,Entry,6,Bachelor,1,0,0,0,0,71541,Oct,2024,High,7,2,Low,20,Not Ready
42,Data Analyst,Enterprise,E-commerce,UK,Onsite,Mid,11,PhD,0,1,1,1,0,101542,Aug,2021,High,6,7.5,High,60,Moderate
43,Data Scientist,Medium,Retail,India,Hybrid,Entry,4,Bachelor,1,0,1,1,0,76365,Apr,2020,High,1,8,High,80,Highly Ready
44,Data Scientist,Startup,Technology,Germany,Hybrid,Senior,12,PhD,1,1,0,0,1,109268,Feb,2023,Medium,3,5.5,Medium,50,Moderate
45,Data Engineer,Medium,Technology,Germany,Remote,Senior,6,Bachelor,0,0,0,1,1,121214,Dec,2020,High,9,5,Medium,25,Not Ready
46,Data Scientist,MNC,Finance,Australia,Remote,Mid,11,Master,0,1,0,0,0,94175,Jun,2024,Medium,5,1.5,Low,0,Not Ready
47,Data Analyst,MNC,E-commerce,Germany,Onsite,Senior,1,Bachelor,0,0,0,1,0,139588,Jun,2025,Low,1,3,Low,10,Not Ready
48,Data Analyst,MNC,Finance,UK,Hybrid,Mid,7,Bachelor,1,1,1,1,1,130539,Dec,2024,High,2,11.5,High,120,Highly Ready
49,Data Scientist,MNC,Retail,Australia,Onsite,Entry,0,Bachelor,0,1,0,1,1,93324,Jun,2021,Low,3,6.5,Medium,40,Beginner
50,Data Analyst,MNC,E-commerce,Singapore,Remote,Mid,7,Master,1,1,0,0,0,91015,Jan,2025,High,7,3.5,Low,35,Beginner
51,Data Scientist,Medium,Finance,UK,Remote,Mid,8,PhD,1,0,0,0,0,71633,Sep,2022,Medium,1,2,Low,20,Not Ready
52,Data Scientist,Startup,Education,Germany,Remote,Entry,4,PhD,1,0,0,0,0,49809,Oct,2022,Low,5,2,Low,20,Not Ready
53,Data Scientist,Startup,Education,USA,Hybrid,Entry,12,PhD,0,1,1,0,0,63419,Aug,2026,High,8,4.5,Low,25,Not Ready
54,Machine Learning Engineer,Medium,Healthcare,Australia,Hybrid,Senior,1,PhD,1,0,1,1,0,171544,Jul,2026,High,9,8,High,80,Highly Ready
55,Business Analyst,Startup,Education,India,Onsite,Senior,5,PhD,1,1,1,1,1,143017,Nov,2022,High,2,11.5,High,120,Highly Ready
56,Machine Learning Engineer,MNC,Finance,Australia,Remote,Senior,6,Master,1,0,0,0,0,155137,Aug,2020,Low,4,2,Low,20,Not Ready
57,Machine Learning Engineer,Startup,Technology,Germany,Remote,Mid,4,Master,1,0,1,0,0,131254,Sep,2026,Low,3,5,Medium,45,Beginner
58,Data Analyst,Medium,Technology,Germany,Remote,Senior,10,PhD,0,1,1,0,1,127570,May,2024,Medium,3,6.5,Medium,40,Beginner
59,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,Entry,0,Master,0,0,1,1,1,154945,Nov,2020,High,2,8,High,60,Moderate
60,Machine Learning Engineer,Startup,Finance,Australia,Onsite,Mid,14,PhD,1,0,0,1,1,136276,Apr,2026,Medium,1,7,Medium,60,Moderate
61,Data Engineer,Medium,Healthcare,Germany,Onsite,Mid,12,Master,1,1,0,1,0,90122,Jul,2025,High,7,6.5,Medium,60,Moderate
62,Data Analyst,Enterprise,Technology,Canada,Hybrid,Mid,2,Master,0,0,1,0,0,93905,Jul,2020,Low,5,3,Low,10,Not Ready
63,Data Scientist,Enterprise,Education,India,Hybrid,Entry,12,Bachelor,1,0,1,1,0,84361,Apr,2026,High,9,8,High,80,Highly Ready
64,Data Engineer,Medium,Finance,Germany,Onsite,Mid,4,Bachelor,1,1,1,1,1,110876,Jun,2024,High,8,11.5,High,120,Highly Ready
65,Data Scientist,Startup,E-commerce,Australia,Remote,Mid,6,Master,1,1,1,0,1,104352,Jul,2022,High,8,8.5,High,75,Highly Ready
66,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Mid,3,Master,1,0,1,0,1,97551,Jun,2022,Low,6,7,Medium,60,Moderate
67,Data Engineer,Startup,Healthcare,Singapore,Onsite,Mid,12,PhD,1,0,1,1,1,118915,Jan,2023,High,4,10,High,95,Highly Ready
68,Data Scientist,MNC,Finance,India,Hybrid,Mid,13,Bachelor,0,0,1,0,0,108744,Jun,2021,Medium,3,3,Low,10,Not Ready
69,Machine Learning Engineer,Startup,Healthcare,Germany,Hybrid,Entry,3,Master,0,0,0,0,0,86994,Aug,2025,High,9,0,Low,-15,Not Ready
70,Data Analyst,Medium,Finance,Canada,Hybrid,Mid,4,Master,1,0,0,1,1,104762,Jan,2025,Low,3,7,Medium,60,Moderate
71,AI Engineer,MNC,E-commerce,UK,Remote,Entry,11,Master,1,0,0,0,0,112546,Oct,2025,Medium,3,2,Low,20,Not Ready
72,AI Engineer,Startup,E-commerce,India,Remote,Mid,7,PhD,1,1,0,0,1,125142,Jan,2020,Low,1,5.5,Medium,50,Moderate
73,Data Scientist,Startup,Healthcare,Australia,Remote,Senior,2,PhD,1,1,0,0,0,100567,Apr,2026,High,8,3.5,Low,35,Beginner
74,Business Analyst,Startup,Technology,Australia,Onsite,Senior,5,Bachelor,0,0,0,0,0,97336,Apr,2025,High,7,0,Low,-15,Not Ready
75,Machine Learning Engineer,Medium,E-commerce,UK,Hybrid,Entry,5,Master,0,0,0,1,0,107863,Aug,2024,High,8,3,Low,10,Not Ready
76,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,14,PhD,0,0,1,1,1,115779,Nov,2025,High,5,8,High,60,Moderate
77,Machine Learning Engineer,MNC,Education,Australia,Onsite,Senior,13,Master,0,1,1,0,1,180984,Jan,2026,Medium,2,6.5,Medium,40,Beginner
78,AI Engineer,Enterprise,Technology,Germany,Remote,Entry,9,PhD,0,1,0,1,0,104146,Aug,2020,Medium,6,4.5,Low,25,Not Ready
79,Data Engineer,Enterprise,Finance,Australia,Remote,Entry,13,Master,1,1,0,0,0,49662,Mar,2026,Medium,6,3.5,Low,35,Beginner
80,Business Analyst,Enterprise,Finance,Canada,Remote,Mid,4,Bachelor,1,0,0,0,1,81625,Nov,2025,High,9,4,Low,35,Beginner
81,Machine Learning Engineer,Enterprise,Healthcare,UK,Hybrid,Senior,10,Bachelor,0,1,0,0,1,146990,Apr,2025,High,8,3.5,Low,15,Not Ready
82,Business Analyst,MNC,Finance,USA,Remote,Senior,5,PhD,1,1,1,0,0,134944,Apr,2020,High,7,6.5,Medium,60,Moderate
83,Data Scientist,MNC,Education,Australia,Onsite,Entry,6,Bachelor,0,1,0,1,0,88058,Aug,2022,Low,3,4.5,Low,25,Not Ready
84,Data Engineer,MNC,Education,Canada,Remote,Entry,13,Bachelor,1,1,0,1,0,86645,Dec,2020,Medium,3,6.5,Medium,60,Moderate
85,Machine Learning Engineer,Medium,Education,UK,Onsite,Entry,6,Bachelor,0,0,1,1,1,131305,Dec,2020,High,3,8,High,60,Moderate
86,AI Engineer,MNC,Healthcare,Singapore,Remote,Entry,6,Bachelor,0,1,0,0,0,112221,Sep,2026,High,8,1.5,Low,0,Not Ready
87,Business Analyst,Enterprise,Retail,USA,Onsite,Mid,7,PhD,1,1,1,1,0,105619,May,2025,High,4,9.5,High,95,Highly Ready
88,Business Analyst,Medium,Healthcare,Singapore,Hybrid,Senior,6,Bachelor,0,0,1,0,0,111308,Dec,2021,Low,4,3,Low,10,Not Ready
89,Machine Learning Engineer,Startup,E-commerce,Germany,Onsite,Mid,1,PhD,0,0,0,1,1,135804,Jun,2025,Low,5,5,Medium,25,Not Ready
90,Data Scientist,Medium,E-commerce,Germany,Onsite,Mid,11,Master,1,0,1,1,1,114223,Jan,2021,High,7,10,High,95,Highly Ready
91,Data Analyst,Startup,Education,USA,Hybrid,Entry,6,Bachelor,0,1,1,0,1,76809,Oct,2024,Low,4,6.5,Medium,40,Beginner
92,Business Analyst,Medium,E-commerce,UK,Hybrid,Mid,9,Bachelor,1,0,1,1,0,107141,Oct,2023,High,5,8,High,80,Highly Ready
93,Business Analyst,Medium,Education,Canada,Onsite,Entry,5,PhD,0,1,1,1,0,83646,Oct,2024,High,9,7.5,High,60,Moderate
94,Data Scientist,Medium,E-commerce,Germany,Hybrid,Mid,1,Master,1,1,0,0,0,75490,Oct,2024,Low,5,3.5,Low,35,Beginner
95,Business Analyst,Enterprise,Retail,Germany,Remote,Senior,7,PhD,0,1,1,0,0,114853,Jun,2024,High,8,4.5,Low,25,Not Ready
96,Data Scientist,Medium,Technology,Singapore,Onsite,Senior,0,PhD,1,0,0,0,1,105153,Feb,2024,High,9,4,Low,35,Beginner
97,Data Scientist,Startup,Finance,USA,Remote,Entry,7,PhD,1,0,0,0,0,46252,Dec,2023,Low,2,2,Low,20,Not Ready
98,Data Analyst,Medium,Education,India,Onsite,Entry,10,PhD,0,0,0,1,0,67982,Dec,2025,High,7,3,Low,10,Not Ready
99,Data Analyst,MNC,E-commerce,USA,Onsite,Entry,5,Master,1,0,1,0,1,98044,Oct,2026,High,9,7,Medium,60,Moderate
100,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Entry,9,Master,0,1,0,0,0,113007,Feb,2022,High,9,1.5,Low,0,Not Ready
101,Business Analyst,Medium,Education,Germany,Onsite,Senior,10,Master,1,0,0,1,0,117138,Dec,2023,High,8,5,Medium,45,Beginner
102,Business Analyst,Medium,Retail,Canada,Onsite,Mid,6,PhD,1,0,0,1,0,90468,Jun,2020,Low,4,5,Medium,45,Beginner
103,Business Analyst,Medium,Finance,Canada,Hybrid,Mid,6,Master,0,1,1,1,0,109996,Feb,2022,High,7,7.5,High,60,Moderate
104,Data Analyst,Enterprise,Education,Germany,Remote,Mid,12,Bachelor,1,0,1,0,1,96771,Sep,2021,High,8,7,Medium,60,Moderate
105,Data Engineer,Startup,Technology,Canada,Remote,Mid,2,Bachelor,0,1,1,1,1,110145,May,2020,High,4,9.5,High,75,Highly Ready
106,Data Scientist,Startup,Education,Singapore,Remote,Senior,8,Bachelor,1,1,1,0,1,129130,Dec,2025,Medium,5,8.5,High,75,Highly Ready
107,Data Engineer,MNC,Retail,Australia,Remote,Mid,6,Bachelor,1,1,0,1,1,124076,Mar,2024,Low,6,8.5,High,75,Highly Ready
108,Data Engineer,Medium,Retail,India,Remote,Mid,0,Bachelor,1,0,1,1,0,108245,Jul,2020,High,5,8,High,80,Highly Ready
109,Data Scientist,Enterprise,Technology,India,Remote,Entry,9,PhD,0,1,1,1,0,83194,Mar,2025,High,8,7.5,High,60,Moderate
110,Business Analyst,MNC,E-commerce,Singapore,Remote,Entry,4,Master,1,0,0,1,0,81218,Sep,2021,High,9,5,Medium,45,Beginner
111,AI Engineer,Medium,Finance,Singapore,Remote,Entry,10,PhD,1,1,1,0,1,115370,May,2021,High,8,8.5,High,75,Highly Ready
112,Machine Learning Engineer,Medium,E-commerce,Germany,Remote,Entry,0,Bachelor,1,1,0,1,1,112745,Mar,2021,Low,3,8.5,High,75,Highly Ready
113,Data Analyst,Startup,E-commerce,USA,Hybrid,Senior,10,Bachelor,0,1,0,0,0,104908,Oct,2023,High,9,1.5,Low,0,Not Ready
114,Data Analyst,Medium,Technology,Singapore,Remote,Senior,9,Bachelor,0,0,0,0,1,108741,Jul,2026,Medium,5,2,Low,0,Not Ready
115,Machine Learning Engineer,MNC,Healthcare,Australia,Remote,Entry,1,PhD,1,0,1,0,0,122064,Aug,2026,High,9,5,Medium,45,Beginner
116,Machine Learning Engineer,MNC,E-commerce,UK,Hybrid,Senior,6,Master,1,0,1,1,0,190084,Jun,2023,High,5,8,High,80,Highly Ready
117,AI Engineer,MNC,Technology,India,Onsite,Entry,0,Master,1,1,0,1,1,136353,Feb,2025,High,8,8.5,High,75,Highly Ready
118,Business Analyst,MNC,Technology,UK,Onsite,Entry,12,PhD,0,0,1,0,0,89645,Feb,2024,Medium,3,3,Low,10,Not Ready
119,AI Engineer,Startup,Retail,Canada,Remote,Senior,6,PhD,0,0,0,1,1,163155,Jun,2022,Low,2,5,Medium,25,Not Ready
120,Data Analyst,Enterprise,Finance,Australia,Remote,Entry,4,PhD,0,1,1,0,0,65626,Jan,2021,Low,5,4.5,Low,25,Not Ready
121,AI Engineer,Medium,Healthcare,Canada,Onsite,Entry,7,Bachelor,1,1,0,1,1,115179,Sep,2020,High,8,8.5,High,75,Highly Ready
122,Business Analyst,Startup,Retail,Australia,Hybrid,Senior,12,PhD,1,1,0,1,1,127725,Sep,2025,Medium,3,8.5,High,75,Highly Ready
123,Data Engineer,Enterprise,Finance,Australia,Remote,Mid,11,Bachelor,0,1,1,0,0,90463,Aug,2022,Medium,2,4.5,Low,25,Not Ready
124,Business Analyst,Startup,E-commerce,India,Hybrid,Mid,14,Master,0,1,1,0,0,87043,Jun,2020,High,9,4.5,Low,25,Not Ready
125,Data Analyst,Medium,Retail,USA,Remote,Entry,14,Master,1,1,1,1,1,93905,Aug,2021,High,1,11.5,High,120,Highly Ready
126,AI Engineer,Startup,Healthcare,USA,Remote,Entry,13,Bachelor,0,0,1,1,1,132014,Oct,2025,High,7,8,High,60,Moderate
127,Machine Learning Engineer,Medium,Healthcare,India,Onsite,Entry,12,PhD,0,0,1,0,1,119631,Sep,2021,High,9,5,Medium,25,Not Ready
128,AI Engineer,MNC,Healthcare,Germany,Hybrid,Mid,10,PhD,0,0,0,1,1,155021,Oct,2026,Medium,4,5,Medium,25,Not Ready
129,Data Analyst,Enterprise,Finance,Germany,Hybrid,Mid,1,PhD,1,1,0,1,0,86266,Oct,2022,High,9,6.5,Medium,60,Moderate
130,Data Engineer,MNC,E-commerce,Canada,Onsite,Entry,2,PhD,1,1,1,1,0,99644,Aug,2020,High,6,9.5,High,95,Highly Ready
131,Data Analyst,Enterprise,Technology,India,Onsite,Senior,12,Bachelor,1,0,0,0,0,102005,May,2026,Medium,1,2,Low,20,Not Ready
132,Machine Learning Engineer,Startup,Technology,Canada,Hybrid,Mid,2,Bachelor,1,0,1,1,0,145631,Apr,2021,High,2,8,High,80,Highly Ready
133,Machine Learning Engineer,MNC,Education,Singapore,Hybrid,Senior,9,PhD,1,0,1,0,0,172958,Jan,2022,Medium,2,5,Medium,45,Beginner
134,Machine Learning Engineer,MNC,Technology,Australia,Onsite,Mid,13,Master,1,0,0,0,1,142365,Jun,2023,High,9,4,Low,35,Beginner
135,Business Analyst,Enterprise,Education,Singapore,Remote,Mid,5,PhD,0,0,0,0,1,89444,May,2026,Low,2,2,Low,0,Not Ready
136,Data Scientist,MNC,Technology,Germany,Remote,Senior,14,PhD,0,1,0,1,1,149472,May,2023,High,9,6.5,Medium,40,Beginner
137,Data Analyst,MNC,Finance,USA,Hybrid,Entry,4,PhD,0,0,1,0,0,89847,Dec,2023,Low,1,3,Low,10,Not Ready
138,Data Engineer,MNC,Retail,Canada,Hybrid,Mid,8,Master,0,0,1,1,0,126262,Mar,2025,High,1,6,Medium,45,Beginner
139,Business Analyst,Startup,Retail,Canada,Remote,Entry,13,PhD,1,1,1,0,1,75370,Nov,2025,High,8,8.5,High,75,Highly Ready
140,Machine Learning Engineer,Startup,Healthcare,Canada,Remote,Senior,7,PhD,0,0,1,0,1,166294,Apr,2021,Low,6,5,Medium,25,Not Ready
141,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,Senior,5,Bachelor,0,0,1,0,1,185238,Oct,2022,Low,1,5,Medium,25,Not Ready
142,Machine Learning Engineer,Medium,Healthcare,India,Remote,Mid,7,PhD,0,1,0,1,0,128072,Mar,2026,Low,4,4.5,Low,25,Not Ready
143,Data Engineer,Startup,E-commerce,USA,Hybrid,Mid,1,Master,1,1,0,0,0,75208,Sep,2024,High,9,3.5,Low,35,Beginner
144,Business Analyst,Enterprise,Finance,UK,Hybrid,Entry,13,Master,1,1,0,1,1,71000,Jul,2022,Medium,2,8.5,High,75,Highly Ready
145,Business Analyst,Enterprise,Finance,Australia,Hybrid,Senior,4,Bachelor,0,0,1,1,0,127875,Sep,2020,High,5,6,Medium,45,Beginner
146,Data Scientist,MNC,Finance,UK,Hybrid,Mid,2,PhD,1,1,1,1,1,139218,May,2021,High,9,11.5,High,120,Highly Ready
147,Machine Learning Engineer,Medium,Technology,Canada,Remote,Mid,11,Bachelor,0,1,1,0,0,133234,Jul,2025,Medium,4,4.5,Low,25,Not Ready
148,Data Engineer,Medium,Technology,UK,Onsite,Entry,6,Bachelor,0,0,1,0,0,68906,Mar,2026,High,9,3,Low,10,Not Ready
149,AI Engineer,Startup,E-commerce,Australia,Onsite,Mid,12,Master,1,1,0,1,1,142311,Oct,2023,Medium,3,8.5,High,75,Highly Ready
150,Data Engineer,Medium,Healthcare,USA,Remote,Mid,13,Bachelor,0,0,0,1,1,102052,Jul,2026,High,7,5,Medium,25,Not Ready
151,Data Scientist,Medium,E-commerce,India,Hybrid,Senior,0,Master,1,1,0,1,0,117285,May,2025,High,7,6.5,Medium,60,Moderate
152,AI Engineer,Startup,Healthcare,USA,Onsite,Mid,8,Master,0,1,1,1,1,153225,Nov,2024,High,1,9.5,High,75,Highly Ready
153,AI Engineer,Medium,Retail,Germany,Onsite,Mid,1,Bachelor,0,1,1,0,0,134776,Mar,2023,Low,2,4.5,Low,25,Not Ready
154,Machine Learning Engineer,Startup,E-commerce,USA,Hybrid,Entry,2,PhD,1,0,1,0,1,111100,Sep,2025,High,9,7,Medium,60,Moderate
155,Data Scientist,Medium,Retail,Singapore,Remote,Mid,9,PhD,1,0,0,0,0,72349,Mar,2023,High,7,2,Low,20,Not Ready
156,Machine Learning Engineer,Medium,Healthcare,Singapore,Remote,Mid,0,Bachelor,1,0,0,1,0,127472,Jul,2023,Low,6,5,Medium,45,Beginner
157,Business Analyst,Startup,Technology,India,Remote,Senior,7,Bachelor,1,1,1,0,1,128533,Jun,2021,Low,3,8.5,High,75,Highly Ready
158,AI Engineer,Medium,Education,USA,Onsite,Mid,13,PhD,1,1,1,1,1,153374,Sep,2026,High,4,11.5,High,120,Highly Ready
159,Machine Learning Engineer,Medium,Education,USA,Onsite,Entry,13,PhD,0,0,1,0,1,119732,Apr,2023,Medium,6,5,Medium,25,Not Ready
160,Data Scientist,Startup,Education,Canada,Hybrid,Mid,7,Master,0,1,0,0,1,89715,Feb,2024,Low,6,3.5,Low,15,Not Ready
161,Data Engineer,MNC,Finance,Singapore,Hybrid,Entry,8,Master,0,1,0,0,0,70962,Mar,2023,Medium,1,1.5,Low,0,Not Ready
162,Data Engineer,Enterprise,Healthcare,Germany,Hybrid,Senior,2,Master,1,0,0,1,1,128435,Oct,2023,Low,5,7,Medium,60,Moderate
163,Data Scientist,Medium,Education,India,Remote,Senior,7,Master,1,1,1,1,0,132693,Sep,2026,High,7,9.5,High,95,Highly Ready
164,Business Analyst,Enterprise,Healthcare,UK,Hybrid,Senior,13,Master,1,1,1,1,0,133984,Jun,2020,High,2,9.5,High,95,Highly Ready
165,AI Engineer,Enterprise,Education,USA,Hybrid,Mid,12,Master,1,0,0,0,1,125772,May,2021,High,9,4,Low,35,Beginner
166,Business Analyst,Medium,Technology,USA,Onsite,Entry,14,Bachelor,1,1,1,0,1,72719,Nov,2025,Medium,6,8.5,High,75,Highly Ready
167,Machine Learning Engineer,MNC,Retail,Singapore,Onsite,Entry,1,PhD,1,0,1,1,0,140175,Sep,2026,High,2,8,High,80,Highly Ready
168,Data Analyst,Startup,Retail,Canada,Remote,Mid,2,Master,0,1,1,1,0,101638,Aug,2020,High,4,7.5,High,60,Moderate
169,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,1,PhD,0,0,1,0,1,96549,Jul,2024,Low,3,5,Medium,25,Not Ready
170,Business Analyst,Medium,E-commerce,Australia,Onsite,Mid,10,Master,0,1,1,0,0,92993,Aug,2026,High,7,4.5,Low,25,Not Ready
171,Business Analyst,Startup,E-commerce,Canada,Hybrid,Mid,4,Bachelor,0,1,0,0,1,88656,Mar,2020,Low,4,3.5,Low,15,Not Ready
172,AI Engineer,Enterprise,E-commerce,Germany,Onsite,Entry,13,Master,1,1,1,1,1,129839,Mar,2020,High,2,11.5,High,120,Highly Ready
173,Business Analyst,MNC,E-commerce,Australia,Hybrid,Entry,12,Master,0,0,1,0,1,98616,Jan,2021,High,9,5,Medium,25,Not Ready
174,AI Engineer,MNC,E-commerce,USA,Hybrid,Mid,11,Master,1,0,1,0,0,145775,Nov,2025,Medium,2,5,Medium,45,Beginner
175,Data Scientist,Enterprise,Finance,Germany,Onsite,Entry,4,PhD,1,1,0,0,0,49940,Aug,2020,High,8,3.5,Low,35,Beginner
176,Data Analyst,Startup,E-commerce,UK,Onsite,Entry,3,Bachelor,0,1,1,0,1,79866,Apr,2026,Low,4,6.5,Medium,40,Beginner
177,Data Analyst,Enterprise,Retail,Germany,Onsite,Senior,4,Master,0,1,1,1,1,141511,Dec,2020,High,6,9.5,High,75,Highly Ready
178,Data Scientist,Startup,Healthcare,Singapore,Hybrid,Senior,3,Bachelor,1,1,1,0,0,118569,Jul,2025,High,9,6.5,Medium,60,Moderate
179,Machine Learning Engineer,Medium,E-commerce,Germany,Onsite,Mid,12,Master,0,1,0,1,1,143714,Oct,2026,Medium,2,6.5,Medium,40,Beginner
180,Data Scientist,MNC,Healthcare,Singapore,Remote,Entry,13,PhD,1,1,0,1,1,92461,Apr,2024,Medium,4,8.5,High,75,Highly Ready
